risk_rank,simulation_id,exposure_scenario_id,particle_id,polymer,size_um,size_class,shape,aging,charge,dose_level,daily_dose_unit,duration_days,gut_status,diet_state,particle_hazard_potential,interaction_risk_proxy,lymphatic_burden_index,macrophage_activation_score,ROS_score,cytokine_activation_score,systemic_inflammatory_spillover_score,immune_dysregulation_score,lymphatic_microplastic_immune_risk_index,final_risk_class,dominant_mechanistic_driver
67,SIM048490,EXP0072,MP0565,PVC,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7664805399351885,0.7803404464296572,0.983587167576772,0.8891809683337801,0.8757376087536164,0.8926559809794302,0.9023223979174015,0.9113024981981594,0.8496595281605287,severe,lymphatic burden dominated
68,SIM048085,EXP0072,MP0160,PE,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7527589886307676,0.7733963228195512,1.0,0.8816104600681857,0.8726888412963432,0.892837813941507,0.904831264873593,0.9116165983620759,0.8495435209839703,severe,lymphatic burden dominated
69,SIM048517,EXP0072,MP0592,PVC,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7643914529037051,0.7794662319906694,0.9839830173654992,0.88870916201489,0.8751056889796733,0.8924069686014957,0.9019506722545875,0.9110090071723694,0.8492843534594005,severe,lymphatic burden dominated
70,SIM048409,EXP0072,MP0484,PS,1.0,submicron-to-small,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7540042764067755,0.7743125928709778,0.9936654561028296,0.8871080350498105,0.873139025829198,0.893168081171967,0.9032201725126237,0.9119604912266994,0.8490786244645049,severe,lymphatic burden dominated
71,SIM048112,EXP0072,MP0187,PE,0.1,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7507342041658126,0.7725161556136594,1.0,0.8811091792253877,0.8720006156409341,0.8924162904562059,0.9045243400889752,0.9112175431648456,0.8490580101328487,severe,lymphatic burden dominated
72,SIM048407,EXP0072,MP0482,PS,1.0,submicron-to-small,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7439108483299572,0.7752800144610732,0.9911253906410264,0.8900466224472601,0.8716230489377612,0.8932587352838041,0.9018022313295024,0.9116239619090334,0.848875662699447,severe,lymphatic burden dominated
73,SIM048218,EXP0072,MP0293,PP,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7422775752206053,0.7733546146051157,0.9981373215802416,0.8843341865736375,0.8709653128745956,0.8926801048274589,0.9043131789085095,0.91136903192599,0.8488208118100008,severe,lymphatic burden dominated
74,SIM047817,EXP0071,MP0567,PVC,0.05,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8302523729231442,0.7912686993066195,0.9585081410506564,0.9070379405449893,0.8876922838181205,0.8909354333361058,0.865917645478882,0.909216601762667,0.8487096487073084,severe,lymphatic burden dominated
75,SIM047949,EXP0072,MP0024,PET,0.05,nano-scale,fiber,UV-aged,positive,high,10.0,365,barrier-impaired,high-fat,0.7647829838879332,0.7875170985925682,0.9658734084866648,0.8967224031071053,0.8756552833660872,0.8893241856280818,0.8947688806298717,0.9083133490270779,0.8486879139290807,severe,lymphatic burden dominated
76,SIM048488,EXP0072,MP0563,PVC,0.05,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7582242394417085,0.7818667472899956,0.977057044418903,0.8920508604207426,0.874041051225541,0.8907402743987612,0.8988832053520271,0.909537046862539,0.8485582798984505,severe,lymphatic burden dominated
77,SIM048006,EXP0072,MP0081,PET,1.0,submicron-to-small,fiber,oxidized,positive,high,10.0,365,barrier-impaired,high-fat,0.7789378166606986,0.7854289393321213,0.9702398248471196,0.8960344190360612,0.8783834206942148,0.8910618117555894,0.8951058691014908,0.9100758932110186,0.8485235258835562,severe,lymphatic burden dominated
78,SIM047844,EXP0071,MP0594,PVC,0.1,nano-scale,fiber,oxidized,positive,high,10.0,365,barrier-impaired,normal,0.8280996316238466,0.7904306934125697,0.9592315230024544,0.9065984817122259,0.8871120240347935,0.8908139153361256,0.8657717734364994,0.9090492710759295,0.8484622286998155,severe,lymphatic burden dominated
79,SIM048220,EXP0072,MP0295,PP,0.05,nano-scale,fiber,oxidized,neutral,high,10.0,365,barrier-impaired,high-fat,0.7505339886307677,0.7718260975728098,0.9996491572308706,0.8809620034431289,0.8717581247607001,0.892233423608385,0.904308772458047,0.9110309168281737,0.8484303686318762,severe,lymphatic burden dominated
80,SIM048140,EXP0072,MP0215,PE,1.0,submicron-to-small,fiber,oxidized,negative,high,10.0,365,barrier-impaired,high-fat,0.7593022804161438,0.7726627790667288,0.998885836229142,0.8839300029572187,0.8740215367285841,0.8929548145921711,0.903487270076544,0.912190025083616,0.8484033107527745,severe,lymphatic burden dominated
81,SIM048245,EXP0072,MP0320,PP,0.1,nano-scale,fiber,UV-aged,negative,high,10.0,365,barrier-impaired,high-fat,0.7402269912827766,0.7724629746203945,0.9982186157877824,0.8838345921128452,0.8702828948872472,0.8922595748276483,0.9040035499274635,0.9109811948979316,0.8483455486572532,severe,lymphatic burden dominated
