polymer,size_class,shape,aging,n_scenarios,baseline_mean_risk,mc_mean_risk,mc_sd_risk,mean_prob_severe,mean_prob_high_or_severe,mean_uncertainty_band,stable_classification_rate
PE,small microplastic,fiber,oxidized,216,0.48092093285956217,0.4808885859291905,0.01709954832568306,0.032608024691358026,0.3799074074074074,0.055654991569768976,0.8657407407407407
PVC,nano-scale,sphere,oxidized,432,0.4797444463233446,0.47969335789483386,0.017068028843761275,0.025810185185185186,0.3758256172839506,0.05564638996633849,0.8425925925925926
PVC,small microplastic,fiber,oxidized,216,0.47891343312449447,0.4787692721423844,0.01710595098473773,0.027746913580246915,0.37578703703703703,0.05577618890679154,0.8657407407407407
PS,small microplastic,fiber,UV-aged,216,0.4779221523280531,0.47786042009944923,0.01696055643943423,0.02865740740740741,0.3749537037037037,0.05516542862633084,0.8703703703703703
PP,small microplastic,fiber,oxidized,216,0.4778541141828898,0.4777362302068771,0.017003042471565137,0.03001543209876543,0.37570987654320986,0.055494544664743635,0.8657407407407407
PE,nano-scale,fiber,pristine,432,0.4771576128986584,0.4770791104439778,0.01701223762384666,0.029128086419753087,0.3717515432098765,0.055449219135608525,0.8402777777777778
PET,submicron-to-small,fragment,UV-aged,216,0.4747403834335485,0.4747128698979753,0.01689676723985116,0.024645061728395062,0.36694444444444446,0.055122628363286956,0.8333333333333334
PP,nano-scale,fiber,pristine,432,0.4735697399446248,0.47345432344960264,0.016779468443624514,0.02655864197530864,0.36460648148148145,0.054789573860630464,0.8356481481481481
PE,nano-scale,sphere,UV-aged,432,0.4730658870091869,0.47296484516815684,0.016773645836097823,0.026419753086419754,0.3638425925925926,0.05474732155928455,0.8425925925925926
PET,nano-scale,sphere,oxidized,432,0.4726647740814717,0.4726174379203188,0.01681395964643022,0.02109567901234568,0.3609413580246914,0.05478640039267241,0.8472222222222222
PET,small microplastic,fiber,oxidized,216,0.4725127369988939,0.4724435212988119,0.016764402926272223,0.02390432098765432,0.36407407407407405,0.0546548157039488,0.8518518518518519
PE,submicron-to-small,sphere,oxidized,216,0.472479758459364,0.4723545164975195,0.016673581042589748,0.027438271604938273,0.3635185185185185,0.05433084230805852,0.8472222222222222
PS,larger microplastic,fiber,oxidized,216,0.4718969064513222,0.47191725508819815,0.01674393199361495,0.024398148148148145,0.3631172839506173,0.05453367913382858,0.8472222222222222
PVC,nano-scale,fiber,pristine,432,0.4714343419806023,0.47135853954165524,0.016801174746344905,0.021574074074074075,0.35888888888888887,0.0547512561430434,0.8425925925925926
PE,small microplastic,fragment,oxidized,216,0.4696512972681974,0.46959628872188797,0.01663280155000196,0.02631172839506173,0.3590895061728395,0.05407688776844609,0.8425925925925926
PP,nano-scale,sphere,UV-aged,432,0.4693821519081141,0.46921122752170746,0.016671222523232367,0.023657407407407408,0.3549382716049383,0.05440544224820716,0.8518518518518519
PP,submicron-to-small,sphere,oxidized,216,0.469006716411656,0.4690003809761795,0.01666287560119921,0.024814814814814817,0.35731481481481486,0.05422479644167641,0.8472222222222222
PS,nano-scale,fragment,pristine,432,0.468769954630391,0.4686573251551107,0.016700379622533252,0.021219135802469133,0.3540432098765432,0.05460928903637727,0.8379629629629629
PS,submicron-to-small,sphere,UV-aged,216,0.46840018327303645,0.4684124018528063,0.01660688228134767,0.02291666666666667,0.35387345679012344,0.05404633807837011,0.8379629629629629
PVC,submicron-to-small,sphere,oxidized,216,0.46765304693365944,0.46751484908041524,0.016623921708187113,0.02123456790123457,0.35155864197530867,0.054110608083705755,0.8518518518518519
PVC,small microplastic,fragment,oxidized,216,0.4672134689014659,0.46725024669666776,0.01671898263682096,0.022361111111111113,0.35412037037037036,0.05436203173860923,0.8518518518518519
PS,submicron-to-small,fiber,pristine,216,0.46667907345863824,0.4667582270439149,0.016602067951908803,0.02205246913580247,0.35205246913580246,0.054140773557878004,0.8564814814814815
PVC,nano-scale,sphere,UV-aged,432,0.46663544353606345,0.4665987232085562,0.016574023946885737,0.01849537037037037,0.347445987654321,0.05393243612551543,0.8541666666666666
PP,small microplastic,fragment,oxidized,216,0.4665065547276288,0.46647485276208484,0.01652538166768099,0.02427469135802469,0.35354938271604935,0.053840667701229146,0.8472222222222222
PS,small microplastic,fragment,UV-aged,216,0.4664352730706214,0.4663652644297527,0.01655711792438405,0.022268518518518517,0.3536111111111111,0.05407764817707495,0.8564814814814815
PE,small microplastic,fiber,UV-aged,216,0.4662098027617017,0.46614580358039415,0.01654319608611126,0.023626543209876543,0.35257716049382715,0.053797146674468006,0.8518518518518519
